Time ,Temp1,Temp2,Temp3,TCTemp3,,,외부 온도,23.9
1341.615,19.74262297,20.04562051,25.49097423,29.49646545,,,,
1341.715,19.73062252,19.73777349,25.18291489,29.18840611,,,,
1341.814,19.74324374,20.00918672,25.69674318,29.7022344,,,,
1341.915,19.77796223,20.04903445,25.73626156,29.74175278,,,,
1342.016,19.8235505,19.87516473,25.72963857,29.73512979,,,,
1342.114,19.78607747,19.8861729,26.10072725,30.10621847,,,,
1342.215,19.73855387,19.81581386,25.31285179,29.31834301,,,,
1342.315,19.80388326,20.00762515,24.51526456,28.52075578,,,,
1342.416,19.75336013,19.97975598,25.10831785,29.11380907,,,,
1342.514,19.75135746,19.88655981,25.2841126,29.28960382,,,,
1342.614,19.82233799,19.98273623,25.74756099,29.75305221,,,,
1342.714,19.78428127,19.95325282,25.78746966,29.79296089,,,,
1342.815,19.70600518,19.86522246,24.33970282,28.34519404,,,,
1342.914,19.66521915,20.03876265,25.03429001,29.03978123,,,,
1343.015,19.70755581,19.89525345,25.64720356,29.65269478,,,,
1343.116,19.79145688,19.97333348,25.6760436,29.68153482,,,,
1343.214,19.72561324,20.18076519,26.42132256,30.42681378,,,,
1343.314,19.66740096,19.7734072,25.16706375,29.17255497,,,,
1343.414,19.73188941,19.80128829,25.17440329,29.17989452,,,,
1343.515,19.73504573,19.96242215,25.71405317,29.71954439,,,,
1343.614,19.70802442,19.89282402,25.4077844,29.41327562,,,,
1343.715,19.76216667,20.07305321,25.65730115,29.66279237,,,,
1343.814,19.7102081,19.94302929,25.52019478,29.525686,,,,
1343.915,19.71526364,19.86832637,24.98543664,28.99092786,,,,
1344.016,19.7561688,19.97047773,25.60522372,29.61071494,,,,
1344.114,19.68458656,19.70704102,25.9214476,29.92693882,,,,
1344.216,19.81319686,19.9447286,25.69614181,29.70163303,,,,
1344.315,19.77445939,20.12213911,25.9952622,30.00075342,,,,
1344.415,19.68240957,19.88363696,24.94975263,28.95524385,,,,
1344.514,19.70482264,19.95535081,24.65688356,28.66237478,,,,
1344.615,19.75767389,19.9431823,25.41276745,29.41825867,,,,
1344.715,19.7834643,19.95076177,25.20149082,29.20698204,,,,
1344.815,19.74106185,20.0034922,25.55458055,29.56007177,,,,
1344.914,19.66429427,19.93033101,25.41613605,29.42162727,,,,
1345.015,19.66757487,19.98907101,24.94866015,28.95415137,,,,
1345.116,19.68708043,20.08631093,25.40942346,29.41491468,,,,
1345.215,19.6705242,19.7996265,25.51334363,29.51883485,,,,
1345.315,19.70194049,19.87995447,25.93636254,29.94185376,,,,
1345.415,19.7298769,20.05208647,26.29499405,30.30048527,,,,
1345.514,19.69739272,19.83997723,25.62639455,29.63188577,,,,
1345.614,19.65023059,19.73508499,25.33997371,29.34546493,,,,
1345.715,19.67746344,19.6906023,25.38387606,29.38936729,,,,
1345.816,19.72861987,19.89324953,25.32594098,29.3314322,,,,
1345.914,19.71932392,20.1967193,25.64318489,29.64867611,,,,
1346.014,19.60100421,19.99775929,25.30360715,29.30909837,,,,
1346.115,19.69677932,19.86106758,24.8346411,28.84013232,,,,
1346.215,19.71332421,19.88813317,26.06178134,30.06727256,,,,
1346.345,19.66371629,19.95247623,25.7602272,29.76571842,,,,
1346.414,19.66378798,20.11585729,25.1664625,29.17195372,,,,
1346.515,19.6740126,20.15676576,25.96417339,29.96966461,,,,
